display_name,symbol_name,exchange_id,instrument,underlying_symbol,security_id
IDFCFIRSTB 30 OCT 61 CALL,IDBLOPT,BSE,OPTSTK,IDFCFIRSTB,863174
SENSEX 30 OCT 73300 PUT,BSXOPT,BSE,OPTIDX,SENSEX,863175
ABB 30 OCT 4700 CALL,ABBLOPT,BSE,OPTSTK,ABB,863176
OBEROIRLTY 30 OCT 1440 CALL,OBRLOPT,BSE,OPTSTK,OBEROIRLTY,863178
FEDERALBNK 25 SEP 182.5 CALL,FEDBOPT,BSE,OPTSTK,FEDERALBNK,863179
INDUSTOWER 30 OCT 315 PUT,INFROPT,BSE,OPTSTK,INDUSTOWER,863181
BANDHANBNK 25 SEP 145 CALL,BDBKOPT,BSE,OPTSTK,BANDHANBNK,863182
SAIL 30 OCT 105 CALL,SAILOPT,BSE,OPTSTK,SAIL,863183
BHEL 30 OCT 195 CALL,BHELOPT,BSE,OPTSTK,BHEL,863184
SBIN 30 OCT 720 CALL,SBILOPT,BSE,OPTSTK,SBIN,863185
KAYNES 30 OCT 7000 CALL,KTNLOPT,BSE,OPTSTK,KAYNES,863186
HINDUNILVR 25 SEP 2700 CALL,HULLOPT,BSE,OPTSTK,HINDUNILVR,863187
PNBHOUSING 30 OCT 780 PUT,PNHFOPT,BSE,OPTSTK,PNBHOUSING,863189
PNBHOUSING 25 SEP 740 CALL,PNHFOPT,BSE,OPTSTK,PNBHOUSING,863191
IIFL 30 OCT 390 PUT,IIFLOPT,BSE,OPTSTK,IIFL,863192
AXISBANK 25 SEP 990 CALL,AXISOPT,BSE,OPTSTK,AXISBANK,863193
FEDERALBNK 25 SEP 182.5 PUT,FEDBOPT,BSE,OPTSTK,FEDERALBNK,863194
BANDHANBNK 25 SEP 145 PUT,BDBKOPT,BSE,OPTSTK,BANDHANBNK,863195
PPLPHARMA 30 OCT 155 CALL,PPHLOPT,BSE,OPTSTK,PPLPHARMA,863196
SENSEX 30 OCT 73200 CALL,BSXOPT,BSE,OPTIDX,SENSEX,863197
SAIL 30 OCT 105 PUT,SAILOPT,BSE,OPTSTK,SAIL,863198
BHEL 30 OCT 195 PUT,BHELOPT,BSE,OPTSTK,BHEL,863199
COALINDIA 30 OCT 335 PUT,COALOPT,BSE,OPTSTK,COALINDIA,863202
HFCL 30 OCT 55 CALL,HFCLOPT,BSE,OPTSTK,HFCL,863205
IRCTC 30 OCT 650 PUT,IRCTOPT,BSE,OPTSTK,IRCTC,863206
PNBHOUSING 25 SEP 740 PUT,PNHFOPT,BSE,OPTSTK,PNBHOUSING,863207
INDUSTOWER 25 SEP 310 CALL,INFROPT,BSE,OPTSTK,INDUSTOWER,863208
CAMS 30 OCT 2900 CALL,CAMSOPT,BSE,OPTSTK,CAMS,863209
OBEROIRLTY 25 SEP 1440 PUT,OBRLOPT,BSE,OPTSTK,OBEROIRLTY,863212
BHARATFORG 30 OCT 1000 PUT,BHFLOPT,BSE,OPTSTK,BHARATFORG,863214
DRREDDY 25 SEP 1080 CALL,DRRLOPT,BSE,OPTSTK,DRREDDY,863216
DIVISLAB 30 OCT 5700 PUT,DIVIOPT,BSE,OPTSTK,DIVISLAB,863217
LICHSGFIN 25 SEP 500 PUT,LICHOPT,BSE,OPTSTK,LICHSGFIN,863218
BANDHANBNK 30 OCT 147.5 CALL,BDBKOPT,BSE,OPTSTK,BANDHANBNK,863219
SENSEX50 30 OCT 24850 CALL,SX50OPT,BSE,OPTIDX,SENSEX50,863220
INDUSINDBK 25 SEP 710 PUT,IIBKOPT,BSE,OPTSTK,INDUSINDBK,863222
PNBHOUSING 30 OCT 800 CALL,PNHFOPT,BSE,OPTSTK,PNBHOUSING,863224
INFY 30 OCT 1340 PUT,INFYOPT,BSE,OPTSTK,INFY,863225
SENSEX 30 OCT 73500 PUT,BSXOPT,BSE,OPTIDX,SENSEX,863226
CYIENT 30 OCT 1040 PUT,CYTLOPT,BSE,OPTSTK,CYIENT,863227
BEL 25 SEP 340 PUT,BELLOPT,BSE,OPTSTK,BEL,863228
DIVISLAB 25 SEP 5800 PUT,DIVIOPT,BSE,OPTSTK,DIVISLAB,863230
IDFCFIRSTB 25 SEP 61 CALL,IDBLOPT,BSE,OPTSTK,IDFCFIRSTB,863231
INDUSTOWER 25 SEP 315 CALL,INFROPT,BSE,OPTSTK,INDUSTOWER,863232
ICICIPRULI 30 OCT 530 PUT,ICLFOPT,BSE,OPTSTK,ICICIPRULI,863234
BAJAJFINSV 30 OCT 1780 PUT,BAJFOPT,BSE,OPTSTK,BAJAJFINSV,863235
BANKEX 25 SEP 54500 PUT,BKXOPT,BSE,OPTIDX,BANKEX,863238
PNBHOUSING 25 SEP 780 CALL,PNHFOPT,BSE,OPTSTK,PNBHOUSING,863241
BHARATFORG 25 SEP 1000 CALL,BHFLOPT,BSE,OPTSTK,BHARATFORG,863243
DIVISLAB 25 SEP 5700 CALL,DIVIOPT,BSE,OPTSTK,DIVISLAB,863244
CANBK 30 OCT 99 PUT,CANBOPT,BSE,OPTSTK,CANBK,863245
BEL 25 SEP 345 PUT,BELLOPT,BSE,OPTSTK,BEL,863246
CAMS 25 SEP 2900 PUT,CAMSOPT,BSE,OPTSTK,CAMS,863247
INFY 25 SEP 1340 CALL,INFYOPT,BSE,OPTSTK,INFY,863248
BLUESTARCO 30 OCT 1560 PUT,BUSLOPT,BSE,OPTSTK,BLUESTARCO,863249
CYIENT 25 SEP 1040 CALL,CYTLOPT,BSE,OPTSTK,CYIENT,863251
HAVELLS 25 SEP 1340 PUT,HAILOPT,BSE,OPTSTK,HAVELLS,863253
COALINDIA 25 SEP 335 CALL,COALOPT,BSE,OPTSTK,COALINDIA,863254
BAJAJFINSV 25 SEP 1780 CALL,BAJFOPT,BSE,OPTSTK,BAJAJFINSV,863255
IRCTC 25 SEP 650 CALL,IRCTOPT,BSE,OPTSTK,IRCTC,863256
BANKEX 25 SEP 54400 CALL,BKXOPT,BSE,OPTIDX,BANKEX,863257
MOTHERSON 30 OCT 77.5 PUT,MSSLOPT,BSE,OPTSTK,MOTHERSON,863258
PNBHOUSING 25 SEP 780 PUT,PNHFOPT,BSE,OPTSTK,PNBHOUSING,863259
MFSL 30 OCT 1340 PUT,MXFSOPT,BSE,OPTSTK,MFSL,863260
HFCL 25 SEP 55 CALL,HFCLOPT,BSE,OPTSTK,HFCL,863262
SENSEX50 25 SEP 24700 CALL,SX50OPT,BSE,OPTIDX,SENSEX50,863264
SHRIRAMFIN 30 OCT 540 CALL,SHTFOPT,BSE,OPTSTK,SHRIRAMFIN,863265
BANKEX 30 OCT 54400 PUT,BKXOPT,BSE,OPTIDX,BANKEX,863266
GODREJPROP 30 OCT 1700 PUT,GPRLOPT,BSE,OPTSTK,GODREJPROP,863269
SENSEX50 30 OCT 24700 PUT,SX50OPT,BSE,OPTIDX,SENSEX50,863271
HINDPETRO 30 OCT 359.5 PUT,HPCLOPT,BSE,OPTSTK,HINDPETRO,863273
WIPRO 25 SEP 227.5 PUT,WIPROPT,BSE,OPTSTK,WIPRO,863274
SENSEX 25 SEP 73100 PUT,BSXOPT,BSE,OPTIDX,SENSEX,863275
ICICIPRULI 25 SEP 530 CALL,ICLFOPT,BSE,OPTSTK,ICICIPRULI,863277
IIFL 25 SEP 370 PUT,IIFLOPT,BSE,OPTSTK,IIFL,863278
MFSL 25 SEP 1340 CALL,MXFSOPT,BSE,OPTSTK,MFSL,863279
BANKINDIA 25 SEP 92.5 CALL,BOILOPT,BSE,OPTSTK,BANKINDIA,863280
